"","Election Year","District Number","District","Constituency No","Constituency","Position","Candidate's Name","Sex","Age","Category","Party","Total Votes","Votes Polled (%)","Public Meeting Non-Star","Public Meeting Star","Campaign Material","Media","Vehicle","Campaign Worker","Other Expenditure","Publication of Criminal Case","Own Fund","Party Fund","Another Person Fund","Total_Exp","Total_Fund_Rec","PMSbyTE","PMNSbyTE","CMbyTE","MedbyTE","VehbyTE","CWbyTE","OEbyTE","PoCCbyTE","OFbyTF","PFbyTF","APFbyTF"
"1",2020,30,"Samastipur","139","Rosera",1,"BIRENDRA KUMAR","MALE",44,"SC","BJP",87163,47.92757225,347634,0,145535,64250,450230,484800,0,0,0,1500000,0,1492449,1500000,0,0.232928562383036,0.0975142199163924,0.043050047271297,0.301671949929277,0.324835220499997,0,0,0,1,0
"2",2020,37,"Vaishali","129","Mahnar",1,"Bina singh","FEMALE",60,"GENERAL","RJD",61721,37.3446519113714,176725,40290,7000,1167351,267107,41400,0,0,245000,0,1513244,1699873,1758244,0.0237017706616906,0.103963649049076,0.00411795469426245,0.68672836147171,0.157133503502909,0.0243547606203522,0,0,0.139343572336945,0,0.860656427663055
"3",2020,12,"Gopalganj","102","Kuchaikote",1,"AMRENDRA KUMAR PANDEY","MALE",46,"GENERAL","JD(U)",74359,41.189276020606,12536725,71603,255720,0,981400,0,10000,52500,4e+05,1e+06,101500,13907948,1501500,0.00514835114425219,0.901407238508513,0.0183866088656644,0,0.0705639681712931,0,0.000719013329644316,0.00377481998063266,0.266400266400266,0.666000666000666,0.0675990675990676
"4",2020,16,"Katihar","69","Korha",4,"LALIT KUMAR","MALE",40,"SC","RLSP",2151,1.0959951085295,10630,31449,266295,0,216000,63335,5955,37800,337800,0,293664,631464,631464,0.049803314203185,0.016833897102606,0.421710501311239,0,0.34206225533047,0.100298671024793,0.00943046634487477,0.0598608946828323,0.534947360419596,0,0.465052639580404
"5",2020,35,"siwan","107","darauli",4,"shiv kumar manjhi","MALE",60,"SC","IND",3140,1.95,0,0,83749,0,198223,50000,74454,16500,21000,0,421000,422926,442000,0,0,0.198022821959397,0,0.468694286943815,0.118223991904021,0.17604498186444,0.0390139173283269,0.0475113122171946,0,0.952488687782805
"6",2020,34,"Sitamarhi","27","Bajpatti",1,"MUKESH KUMAR YADAV","MALE",40,"GENERAL","RJD",71483,40.2093634159649,91295,188234,483340,0,652700,330800,0,215188,66000,372089,1604920,1961557,2043009,0.0959615244420631,0.0465421091510468,0.246406298669883,0,0.332745874833105,0.168641543426982,0,0.109702649476921,0.0323052908724338,0.182127929930803,0.785566779196763
"7",2020,37,"Vaishali","127","raja pakar",1,"pratima kumari","FEMALE",44,"SC","INC",54299,35.6725684065302,37550,0,72846,264416,330800,231593,5450,212452,40205,2800000,0,1155107,2840205,0,0.0325078109646985,0.0630642875508503,0.228910395314027,0.286380395928689,0.200494845932022,0.00471817762337169,0.183924086686342,0.0141556683408416,0.985844331659158,0
"8",2020,13,"Jamui","242","Jhajha",1,"DAMODAR RAWAT","MALE",61,"GENERAL","JD(U)",76972,39.5521276,66140,0,381797,12000,34066,117600,209798,183864,753000,1e+06,372057.59,1005265,2125057.59,0,0.0657935967133045,0.379797366863464,0.0119371509005088,0.0338875818813945,0.116984078824986,0.208699198718746,0.182901026097596,0.354343338055135,0.470575482144933,0.175081179799932
"9",2020,37,"Vaishali","128","Raghopur",1,"Tejasvi prasad yadav","MALE",31,"GENERAL","RJD",97404,48.73782229939,413421,0,212590,0,166320,72640,207705,163296,1024625,579800,299933,1235972,1904358,0,0.334490587165405,0.172002278368766,0,0.134566155220345,0.0587715579317331,0.168049923461049,0.132119497852702,0.538042216852084,0.304459560649836,0.157498222498081
"10",2020,12,"Gopalganj","99","Baikunthpur",1,"Prem Shankar Prasad","MALE",35,"GENERAL","RJD",67807,37.01336274,45975,27775,203961,207058,887632,0,151043,151043,270000,0,1386500,1674487,1656500,0.0165871696824162,0.0274561701583828,0.121805066268057,0.123654587942456,0.530091902773805,0,0.0902025515874414,0.0902025515874414,0.162994265016601,0,0.837005734983399
"11",2020,26,"Patna","184","Patna Sahib",2,"PRAVIN SINGH","MALE",52,"GENERAL","INC",79392,42.18737546,106400,118180,76100,0,345850,1e+06,182145,144384,150000,2800000,0,1973059,2950000,0.0598968403884527,0.0539264157838159,0.0385695511386127,0,0.175286192658202,0.506827216013307,0.0923160432607438,0.0731777407568654,0.0508474576271186,0.949152542372881,0
"12",2020,11,"GAYA","234","WAZIRGANJ",2,"SHASHI SHEKHAR Singh","MALE",42,"GENERAL","INC",48283,34.21528005,46888.3,335835,295763,117749.2,656709.1,433270,0,137313,505100,2e+06,0,2023527.6,2505100,0.165965119526909,0.0231715643512844,0.146162078540466,0.0581900637283129,0.324536764410824,0.214116180080766,0,0.0678582293614379,0.201628677497904,0.798371322502096,0
"13",2020,31,"Saran","115","Baniapur",1,"KEDAR NATH SINGH","MALE",56,"GENERAL","RJD",65194,38.73747007,404861,51815,18000,0,5687700,10000,0,125400,31090,0,1550000,6297776,1581090,0.00822750761538676,0.0642863448938165,0.00285815183010637,0,0.903128342449779,0.00158786212783687,0,0.0199117910830744,0.0196636497606082,0,0.980336350239392
"14",2020,7,"Bhojpur","195","Agiaon(SC)",2,"Prabhunath Prasad","MALE",49,"SC","JD(U)",37777,26.86536383,194760,360680,8100,0,225400,190000,0,125178,550000,1241845,0,1104118,1791845,0.326667982951098,0.176394189751458,0.00733617240186284,0,0.204144846837023,0.172083056339993,0,0.113373751718566,0.306946192332484,0.693053807667516,0
"15",2020,35,"siwan","105","siwan",2,"om prakash yadav","MALE",57,"GENERAL","BJP",74812,44.136789,16077,69670,551194,1267942,827590,0,0,124710,255000,1500000,561000,2857183,2316000,0.0243841574025885,0.00562687094246326,0.192915189541587,0.443773464982817,0.289652430383353,0,0,0.0436478867471912,0.110103626943005,0.647668393782383,0.242227979274611
"16",2020,21,"Madhubani","36","Madhubani",2,"SUMAN KUMAR MAHASETH","MALE",55,"GENERAL","VSIP",64518,34.3657950665552,560797.6,0,0,0,575276.4,243500,0,113660,1491138,0,0,1493234,1491138,0,0.375559088528657,0,0,0.385255358503758,0.16306888270693,0,0.0761166702606557,1,0,0
"17",2020,31,"Saran","116","Taraiya",3,"Sudhir Kumar Singh","MALE",38,"GENERAL","IND",15425,9.281824473,242044,0,107748,0,644540,8000,0,113400,31090,0,1400000,1115732,1431090,0,0.216937400737812,0.0965715781209108,0,0.577683529736532,0.00717018065270154,0,0.101637310752044,0.0217246993550371,0,0.978275300644963
